TITLE = "M6 WING - SURFACE PRESSURE DISTRIBUTIONS - TEST 2308 0.8395 3.0600  0.117E+08"
VARIABLES = "NP", "X/L", "Y/b", "Z/L", "Cp"
ZONE T="Section  1", I =   34, j=1, F=POINT
     8    4.70370E-01    6.50000E-01   -4.76000E-02   -2.79000E-01
     7    3.70090E-01    6.50000E-01   -4.89000E-02   -2.70000E-01
     6    2.70100E-01    6.50000E-01   -4.71600E-02   -1.96000E-01
     5    1.70100E-01    6.50000E-01   -4.22400E-02   -1.21000E-01
     4    5.01600E-02    6.50000E-01   -2.97500E-02   -9.00000E-03
     3    2.01000E-02    6.50000E-01   -2.27500E-02    2.60000E-02
     2    5.91000E-03    6.50000E-01   -1.32600E-02    5.90000E-01
     1    4.20000E-04    6.50000E-01    3.17000E-03    7.52000E-01
    34    2.22000E-03    6.50000E-01    8.06000E-03    3.25000E-01
    33    9.14000E-03    6.50000E-01    1.64000E-02   -3.24000E-01
    32    2.03600E-02    6.50000E-01    2.27300E-02   -9.18000E-01
    31    3.50800E-02    6.50000E-01    2.69300E-02   -1.18100E+00
    30    6.02200E-02    6.50000E-01    3.12800E-02   -1.14000E+00
    29    1.00290E-01    6.50000E-01    3.62600E-02   -1.03100E+00
    28    1.50320E-01    6.50000E-01    4.07800E-02   -9.41000E-01
    27    2.00290E-01    6.50000E-01    4.41100E-02   -5.44000E-01
    26    2.50240E-01    6.50000E-01    4.64700E-02   -5.94000E-01
    25    3.00080E-01    6.50000E-01    4.80000E-02   -6.32000E-01
    24    3.50240E-01    6.50000E-01    4.87900E-02   -6.64000E-01
    23    4.00370E-01    6.50000E-01    4.88600E-02   -6.92000E-01
    22    4.50100E-01    6.50000E-01    4.81300E-02   -7.25000E-01
    21    5.00240E-01    6.50000E-01    4.64900E-02   -3.01000E-01
    20    5.50420E-01    6.50000E-01    4.39200E-02   -2.36000E-01
    19    6.00710E-01    6.50000E-01    4.07300E-02   -2.05000E-01
    18    6.50260E-01    6.50000E-01    3.71100E-02   -1.64000E-01
    17    7.10340E-01    6.50000E-01    3.21800E-02   -1.21000E-01
    16    7.80080E-01    6.50000E-01    2.56300E-02   -5.20000E-02
    15    8.50010E-01    6.50000E-01    1.81500E-02    3.20000E-02
    14    9.20120E-01    6.50000E-01    1.02300E-02    1.23000E-01
    13    9.86110E-01    6.50000E-01    2.51000E-03    2.27000E-01
